target,id,date,query,author,tweet
0,1467841885,Mon Apr 06 22:27:56 PDT 2009,NO_QUERY,MissPassion,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
0,1467912333,Mon Apr 06 22:46:44 PDT 2009,NO_QUERY,Meg_Andruschak,@Steve_Buscemi the weather in Canada is freezing 
0,1467931501,Mon Apr 06 22:52:13 PDT 2009,NO_QUERY,soulonfire68,"We've been good. I'm not liking the snow right now, was getting used to the nice Spring-like weather.  How about you?"
0,1467960481,Mon Apr 06 23:00:26 PDT 2009,NO_QUERY,breedimetria,@JessDubb lmao. U may have to wait for another season to come thru. its summe boo. Hot nd dry ass weather 
0,1468023365,Mon Apr 06 23:18:38 PDT 2009,NO_QUERY,addictedtotext,it's going to be nice again tomorrow and then the rain comes back. no nice weather for my birthday 
0,1468175029,Tue Apr 07 00:07:21 PDT 2009,NO_QUERY,omgitsnoelle,Good morning... I wish the weather was as good as in Germany today 
0,1468209640,Tue Apr 07 00:18:46 PDT 2009,NO_QUERY,prasannathani,@bkGirlFriday dude it snowed here today...cant imagine the weather in hawaii right now 
0,1468256218,Tue Apr 07 00:34:43 PDT 2009,NO_QUERY,featherlight,Downy weather  Where's the summer?
0,1468316655,Tue Apr 07 00:56:04 PDT 2009,NO_QUERY,zuziazuziulka,gloomy weather...again 
0,1468320257,Tue Apr 07 00:57:24 PDT 2009,NO_QUERY,zen_habits,A bit under the weather the last coupla days -- workouts have been low in energy. 
0,1468391317,Tue Apr 07 01:23:00 PDT 2009,NO_QUERY,DaveScouller,"doing the usual with breakie in starbucks before heading out for the morning with cameras, but weather looking shite at this stage "
0,1468522061,Tue Apr 07 02:10:58 PDT 2009,NO_QUERY,fiendishfish,"Am gutted, checked weather report for the wrong day! No fishing for me today "
0,1468525616,Tue Apr 07 02:12:15 PDT 2009,NO_QUERY,Chris2go,i can't enjoy the weather 
0,1468551802,Tue Apr 07 02:21:55 PDT 2009,NO_QUERY,Baby_Queen,"weather cloudy again, everyday same time rainy  "
0,1468577939,Tue Apr 07 02:31:12 PDT 2009,NO_QUERY,Lani_bears,@Pigman i love the cooler trenchcoat weather!! but DNW the darker evenings as it's scary to run at night 
0,1468584756,Tue Apr 07 02:33:39 PDT 2009,NO_QUERY,scorpiolady1,"Blooming great, change of weather now I have a cold, just my luck, don't seem to be having much luck lately... life sucks at the mo "
0,1468600978,Tue Apr 07 02:39:32 PDT 2009,NO_QUERY,DramaQueenx,Horrible Weather 
0,1468611785,Tue Apr 07 02:43:31 PDT 2009,NO_QUERY,KneeHighBootFan,Khb count low today despite the changing weather. 
0,1468612855,Tue Apr 07 02:43:54 PDT 2009,NO_QUERY,kmas0407,READY FOR FRIDAY at the TED!! Go Braves! &amp; stocking up on ricola cough drops &amp; dayquil b.c i have a cold from the constant weather change 
0,1468620878,Tue Apr 07 02:46:46 PDT 2009,NO_QUERY,vickibabes91,Off Too Work .Gunna Miss The Lush Weather  .x
0,1468645098,Tue Apr 07 02:55:36 PDT 2009,NO_QUERY,passi66,preparing for work and leaving the balcony  But i'll give it tomorrow another try! ;-) ? #niceweather #Berlin #goodlife
0,1468727367,Tue Apr 07 03:24:09 PDT 2009,NO_QUERY,Sid_eras,Oh no the weather has turned bad. 3m seas predicted for tomorrow. This could cause a real problem  hopefully the prediction is wrong
0,1468737844,Tue Apr 07 03:27:42 PDT 2009,NO_QUERY,tojara,"not much, keen for the weekend though aye.. though weather isnt lookin great for Sat/Sun "
